Username,Comment
maya.yuliasari,"Gak bisa tidur , hp mati , signal gangguan . Serasa tidak ada kehidupan 😭"
syawiuw,di tempat ku sampe sekarang belum nyala jirr
bekubuneir,"liat storyku langit tadi malem, jujur sering sering aja 😭"
janapakpahan,"Ada apa dengan kejadian blackout ini,adakah sesuatu yang terjadi yang publik tidak tahu?"
murniswjambak1,"Walaupun Lampu Nya Mati Tapi Banyak Hikmah Yang Kita Dapat,,Coba Kita Semua Renung Kan Sejenak,,
Bagaimana Pula Ketika Kita Berada Di Alam Barzah Yang Gelap Gulita Sampai Hari Berbangkit Nanti,,Sedang Kan Mati Lampu Sesa'at Saja Kita Sudah Banyak Merasa Kan Keluhkesah,,Beragam Komentar,,Insya'Allah Sebuah Kesabaran Lah Yang Akan Menang.
👍🙏👍"
suryafariensyah1_,berapa ton barang tu yg lewat tadi malam🗿
edi.sukoco2,"maaf pak tanya, ini jujur apa bohong"
dekaservice_cipete,"kami punya PLTA ombilin,listriknya dikemakan.
kami punya PLTA lubuk minturun hasil listriknya kemana?"
peren30919,"berpa bnyk alat dpur ibu"" yg rusak tu?"
acybob86_,pulsa PLN 84rb tinggal 40rb padahal listrik mati😂😂😂
alhalik8,mundur aj pak. banyak ganti ny ..
ranzxx_niezzz,"cuyy yg di daerah kalian udh mati lampu😭😭
batre HP klian brp?
untung aja aku 86"
elfvanzaf,lampung juga kena pak😅
shenaxkairi,lama amat
rahmiyatinila,aneh ...Konoha ini
syamsul_hsb,berapa ton nya hemat solar nya ????
sunyi008,[Stiker] ganti rugi anjirr.....
ad.audio1.lamongan,pakeeeeeetttt
atifa_.00baijintingzo0,mati lampu lagi anjir😭😭 dari jam 5 sampai jam 20.33 belum hidup juga lagi
hmhmmm39,siapa yng udh hidup lampu nya dri tdiiiii
d_soll09,sekarang mati lampu lagi di sumbar
hanbin_thv,jam setengah dua hidup
aliakbarsiregar98,oh ini bumn yg selalu rugi padahal ga ada saingan😁
brio1856,brapa ton pak yang lewat?
faizinasad,LANGSUNG AJA LOLOS BRP TON?
kangbanjar121,"padahal anggaran perawatan tahunan PT.PLN itu besar banget
23 triliun"
faisaldiansyah181,janggan masarakat di kasi rugi
clarraa49,Hidup kan pak🥲
galangpratamaa03,"kerja bagus, berapa ton boss"
soerya_fatamorgana,komenanku hilang...😁😁😁😁😁
rivaldiparker,Trus gmna nih ikan hias 🥲
yenniokta98,"singkat aja , sampe berapa hari katanya ?"
yourmin09,"tapi pak.. malam jdh kelihatan indah. kesannya utk "" istrhat sebentar"" lihat lah alam semesta . masyallah.. bintang2 banyak sekali dan bulan juga terang td malam.. kami jadi sering cekrama dg keluarga dan tetangga, tidak sibuk dg hp dan pekerjaan masing2. mereka semua kembali ke "" keluarga"" .😁 pas liat langit . aku sempat berfikir. kapan lah aku terkhir lihat bintang sebanyak ini. ☺️"
abiekenzo2,tiada maaf....
naynasafitrisaragih,"gbs bobo ih,panasssssss"
frstttstr,"sumpah ya dulu dulu kalau mati lampu jaringan nya gak ikut mati
sekarang semuanya mati putus semua ga ada yang bisa di mainin di hp ni do
kalau mati lampu malam angekk badangkang yg Ndak tahan nyoo😭"
wakabi010405,sampai saat ini masih blm menyala di Riau / duri..
ecycy95,kami mulai mati lampu tadi malam dari abis magrib hidupnya sampai jam 11 siang gila kali
bonitaaadc,"Panas Om.
hidupin sekarang lampu nya adek gak kuat😭 Medan seperti ovenn😭"
bg_l4n0,"ketika telat bayar kena denda tapi kalo pelayanan yang kurang baik cuma minta maaf,apa ini adil bos?
coba perbaiki tegangan listrik di kabupaten Ogan Komering Ilir,sumsel.sudah banyak barang² elektronik yang rusak akibat tegangan listrik yang tidak stabil."
_a2a4,mengundurkan diri lebih baik dari pada kata mav.
ndehhapalagee28,"lampu mati, harga sawit turun,besok apa lagi ni🗿"
kayan_syaputra,kalok telat bayar kami minta maaf juga gimana pak bisa Ndak?
they_die2,"bnyk x janggal ini pak.
1. yang kena d Jambi (apakah satu aliran antara Jambi kemedan).
2. kalau PLTU membutuhkan waktu begitu lama, untk apa d buat pak.
3. siapa bilang 2jam pak. d tempat saya 24jam pak.
bapak ngomongny aja lambat kek gitu, gimana mau cepat menegur anggotanya.
masih bnyk sebenarnya pertanyaan saya ini pak."
ptanjung745,maap SDH rugi
user060906120606,"kimak lah,ga bisa tidor aku tdi malam,banyak kali nyamuk"
ramadan.putra.rit,maaf aja kurang bos harus ada hitungannya
osner91,maaf terus lah kau....
hamzaleonardo,"Setuju gk si,permintaan maaf di ganti dengan bonus promo 100% setiap pengisi token 🫣"
karen.abella,Terus apa kompensasi yang didapatkan pelanggan karena hal itu?
radiyatulsyaqdiyah,"ga mau maafin ahh,jaringannya mati totall"
putra.munthe3,mundur aja laaa
huangkaisarabadi168,"kok sini Mulu kena masalah etdah, ke maren hujan Mulu, sekarang mati lampu mulu, besok nya apa"
irma_carera02,skrg ini org ga kenal pun kek sodara 😭😭😭 sampe ngungsiii makan diluar bawa cok sambung 😭😭
ujukk3,gara gara mati lampu semalaman tidur di lantai karna panas😭
