"Comment ID","User ID","Username","Nick Name","Comment","Comment Time","Digg Count","Author Digged","Reply Count","Pinned to Top","User Homepage"
"=""7643062288275112724""","=""6906941742085522434""","sabrina23feb","sabrina23feb","Kicau manis😳😳😅😅 smpai sekarang tempatku belum hidup wow uangku habis pindah sana sini sini cafe nyaman.smabil cas malas masak😂😂","23/5/2026, 19.25.30","1","No","0","No","https://www.tiktok.com/@sabrina23feb"
"=""7642920484157375250""","=""7444495462474515464""","gadisgila07","Vyyy🌸💕","Tadi malam di lampu merah , karna lampu merahnya mati semua hilang arah😭","23/5/2026, 10.15.04","3","No","0","No","https://www.tiktok.com/@gadisgila07"
"=""7642957430523921172""","=""6819505380092625922""","lepyourbae","￴","cok eka rasmi blom nyala anjir sampe sekarang","23/5/2026, 12.38.51","2","No","0","No","https://www.tiktok.com/@lepyourbae"
"=""7643034383880356628""","=""6827649284374070274""","user779321341","Yusiami Punya","baru idup oii😭","23/5/2026, 17.37.12","4","No","0","No","https://www.tiktok.com/@user779321341"
"=""7643144150099133205""","=""6690441330109875201""","ceyiilaosy","Alisa | IG @alisanralyaa_","oke mantap 29 jam listrik dan jaringan padam baru nyala sekarang","24/5/2026, 00.43.05","1","No","0","No","https://www.tiktok.com/@ceyiilaosy"
"=""7643091573266957077""","=""7412185697089897478""","_peachluvv","Ppeachluv","Related bgt pd cekin smua org” 🤣","23/5/2026, 21.19.04","1","No","0","No","https://www.tiktok.com/@_peachluvv"
"=""7642967982688502536""","=""7264860532615054337""","pikohgitu","pik oh","baru hidup jam 13.10","23/5/2026, 13.19.32","2","No","0","No","https://www.tiktok.com/@pikohgitu"
"=""7643086340003414802""","=""7090204916199228417""","bby060620","lagi hilang arah","disini pada beli jenset yg udh rusak pun diboloin😭","23/5/2026, 20.58.41","6","No","0","No","https://www.tiktok.com/@bby060620"
"=""7642982680007017237""","=""7416507195394016262""","sabili570","Sabili","Baru hidup njirla wkwkkw","23/5/2026, 14.16.32","4","No","0","No","https://www.tiktok.com/@sabili570"
"=""7642926433514488597""","=""6674198684753036289""","alvonxa","alvonxa","kayanya ketakutanku setelah ga punya duit itu mati lampu lah anjir😭","23/5/2026, 10.38.19","6","No","0","No","https://www.tiktok.com/@alvonxa"
"=""7643019216576643861""","=""6725401402351338498""","coffe_berryy","🍒caa","di medan baru idup sore ini dari semalm 🥹","23/5/2026, 16.38.19","3","No","0","No","https://www.tiktok.com/@coffe_berryy"
"=""7642964877821608725""","=""7224495209488516122""","taknaky","-.","eh malah mati lagi d tmbah jaringannya buruknya","23/5/2026, 13.07.32","2","No","0","No","https://www.tiktok.com/@taknaky"
"=""7643063745903821589""","=""6695664055640359938""","mayocrispyy","firee🔥🔥","wee rame kli di jalan kek di prindapan keos ny karna lampu jalan mati 😭🙏🏻 asli di jalan nahan sabr karna macet wee , ampun liat medan seharian ini 🤣🤣","23/5/2026, 19.31.02","1","No","0","No","https://www.tiktok.com/@mayocrispyy"
"=""7643085371642954514""","=""7020353108828537858""","yut_______a","s","Baru hidupp jirrr","23/5/2026, 20.54.53","3","No","0","No","https://www.tiktok.com/@yut_______a"
"=""7642933297945723655""","=""6942834716127872001""","dwihtbrt","dwiihutabarat","jl. sekip sampe sekarang belum nyala 11.05","23/5/2026, 11.04.52","1","No","0","No","https://www.tiktok.com/@dwihtbrt"
